epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.1849,1.73195,3.29908,1.65743,0.00615,0.46516,0.00581,0.00179,3.32583,inf,33.5077,0.07075,0.00325,0.00325
2,38.0573,1.93191,2.65573,1.77362,0.00133,0.38099,0.00169,0.00053,3.53121,inf,13.3481,0.0407369,0.00657021,0.00657021
3,46.6357,1.86304,2.51601,1.71759,0.16918,0.21743,0.00307,0.00086,3.27278,inf,19.5491,0.0106711,0.00983778,0.00983778
4,54.9579,1.75812,2.31537,1.60912,0.01735,0.08565,0.00984,0.00367,2.70027,34.3235,2.93418,0.00982162,0.00982162,0.00982162
5,63.4252,1.70372,2.23491,1.54666,0.21811,0.30046,0.05624,0.02365,2.35839,68.8407,2.50705,0.00968436,0.00968436,0.00968436
6,71.7871,1.63041,2.12801,1.47977,0.23991,0.18017,0.06208,0.02528,2.25243,7.45019,2.01797,0.0095098,0.0095098,0.0095098
7,80.0927,1.55754,2.02019,1.41354,0.14552,0.1956,0.11813,0.06248,1.70503,2.75681,1.52126,0.00929932,0.00929932,0.00929932
8,88.4691,1.52063,1.99188,1.40025,0.26128,0.3066,0.09694,0.05108,1.66941,3.00186,1.46257,0.00905463,0.00905463,0.00905463
9,96.7264,1.47439,1.94346,1.37145,0.21944,0.26227,0.07258,0.02864,1.91529,3.83911,1.53711,0.0087777,0.0087777,0.0087777
10,104.982,1.44544,1.88771,1.33598,0.39361,0.09701,0.07215,0.02883,2.39696,4.20831,1.94656,0.00847076,0.00847076,0.00847076
11,113.26,1.42835,1.84904,1.32576,0.47516,0.28461,0.15265,0.08565,1.41142,2.19469,1.25376,0.00813627,0.00813627,0.00813627
12,121.543,1.39168,1.79533,1.27938,0.37084,0.37859,0.2351,0.12086,1.47556,2.04711,1.26182,0.00777694,0.00777694,0.00777694
13,129.82,1.38586,1.77963,1.29004,0.11815,0.41296,0.15917,0.07945,1.60465,2.43536,1.42136,0.00739565,0.00739565,0.00739565
14,138.196,1.33203,1.77216,1.26752,0.29209,0.18125,0.09803,0.03632,2.30216,2.76189,1.90038,0.00699547,0.00699547,0.00699547
15,146.749,1.35398,1.66013,1.27204,0.30853,0.41308,0.20277,0.0983,1.71279,2.03957,1.34918,0.00657963,0.00657963,0.00657963
16,175.797,1.24808,1.61375,1.23332,0.18265,0.38206,0.21943,0.12691,1.34119,1.93826,1.20223,0.00615148,0.00615148,0.00615148
17,183.957,1.18871,1.50126,1.22327,0.2572,0.36227,0.17579,0.0849,1.81799,2.22381,1.48773,0.00571445,0.00571445,0.00571445
18,192.292,1.17749,1.42777,1.20737,0.54173,0.30988,0.2828,0.15367,1.41338,1.8904,1.19071,0.00527208,0.00527208,0.00527208
19,200.619,1.09579,1.36325,1.14771,0.30807,0.39675,0.29699,0.17329,1.32772,1.93803,1.20468,0.00482792,0.00482792,0.00482792
20,209.141,1.08828,1.38125,1.15996,0.69365,0.27546,0.27744,0.16189,1.43063,1.7662,1.15496,0.00438555,0.00438555,0.00438555
21,217.493,1.11371,1.36925,1.14828,0.22816,0.59329,0.29411,0.15127,1.58766,1.79358,1.25318,0.00394852,0.00394852,0.00394852
22,225.777,1.06019,1.28695,1.12009,0.39647,0.61618,0.30934,0.18547,1.3741,1.89928,1.21718,0.00352037,0.00352037,0.00352037
23,233.982,0.99789,1.24634,1.09022,0.53716,0.43632,0.27367,0.17469,1.19592,1.75243,1.11043,0.00310453,0.00310453,0.00310453
24,242.291,0.99727,1.1988,1.08474,0.53968,0.4062,0.28574,0.18095,1.30707,1.83926,1.12578,0.00270435,0.00270435,0.00270435
25,250.706,1.00865,1.18514,1.06423,0.1512,0.52914,0.26333,0.14969,1.33804,1.92551,1.15638,0.00232306,0.00232306,0.00232306
26,259.291,0.99289,1.15118,1.07259,0.17193,0.53283,0.24996,0.14881,1.33106,1.85106,1.11326,0.00196373,0.00196373,0.00196373
27,267.747,0.96923,1.12357,1.07176,0.50932,0.43056,0.26885,0.17458,1.20038,1.91963,1.0822,0.00162924,0.00162924,0.00162924
28,277.013,0.89947,1.08195,1.05473,0.23514,0.60971,0.28835,0.17609,1.30672,1.8182,1.08849,0.0013223,0.0013223,0.0013223
29,287.734,0.89357,1.05001,1.02993,0.3205,0.45147,0.2359,0.15099,1.21559,1.94892,1.07986,0.00104537,0.00104537,0.00104537
30,298.336,0.85839,1.05287,1.02434,0.3673,0.53031,0.28129,0.18218,1.18915,1.85243,1.05579,0.000800678,0.000800678,0.000800678
31,309.646,0.87811,1.03559,1.01217,0.3944,0.4942,0.31247,0.20759,1.1653,1.8128,1.05978,0.000590204,0.000590204,0.000590204
32,320.3,0.86411,0.99998,1.01564,0.374,0.52063,0.30669,0.20378,1.17891,1.85443,1.05397,0.000415637,0.000415637,0.000415637
33,333.008,0.84626,0.99202,1.0086,0.39035,0.48611,0.30817,0.20783,1.14697,1.84662,1.04223,0.000278384,0.000278384,0.000278384
34,344.219,0.86816,0.99604,1.01142,0.37448,0.48958,0.29259,0.19826,1.13484,1.84619,1.0382,0.000179549,0.000179549,0.000179549
35,354.78,0.8228,0.97939,1.00291,0.36203,0.50554,0.28854,0.19263,1.13987,1.84156,1.04201,0.000119927,0.000119927,0.000119927
