image,label,source_video,split,class_id,class_name,kind,description,frame_idx
D:\Program\health(5-12)\fall_detection_model_bundle\v3_upgrade_lab\datasets\fall_detect_v3_gmdcsa24_autolabel\images\train\subject_1_fall_01_f00000.jpg,D:\Program\health(5-12)\fall_detection_model_bundle\v3_upgrade_lab\datasets\fall_detect_v3_gmdcsa24_autolabel\labels\train\subject_1_fall_01_f00000.txt,D:\Program\health(5-12)\fall_detection_model_bundle\v3_upgrade_lab\datasets\external_authorized\gmdcsa24\extracted\ekramalam-GMDCSA24-A-Dataset-for-Human-Fall-Detection-in-Videos-d3edb5d\Subject 1\Fall\01.mp4,train,1,fall,Fall,Falling from sitting on the chair to the ground. Left side Fall. Full body not visible.,0
D:\Program\health(5-12)\fall_detection_model_bundle\v3_upgrade_lab\datasets\fall_detect_v3_gmdcsa24_autolabel\images\train\subject_1_fall_01_f00029.jpg,D:\Program\health(5-12)\fall_detection_model_bundle\v3_upgrade_lab\datasets\fall_detect_v3_gmdcsa24_autolabel\labels\train\subject_1_fall_01_f00029.txt,D:\Program\health(5-12)\fall_detection_model_bundle\v3_upgrade_lab\datasets\external_authorized\gmdcsa24\extracted\ekramalam-GMDCSA24-A-Dataset-for-Human-Fall-Detection-in-Videos-d3edb5d\Subject 1\Fall\01.mp4,train,1,fall,Fall,Falling from sitting on the chair to the ground. Left side Fall. Full body not visible.,29
D:\Program\health(5-12)\fall_detection_model_bundle\v3_upgrade_lab\datasets\fall_detect_v3_gmdcsa24_autolabel\images\train\subject_1_fall_01_f00058.jpg,D:\Program\health(5-12)\fall_detection_model_bundle\v3_upgrade_lab\datasets\fall_detect_v3_gmdcsa24_autolabel\labels\train\subject_1_fall_01_f00058.txt,D:\Program\health(5-12)\fall_detection_model_bundle\v3_upgrade_lab\datasets\external_authorized\gmdcsa24\extracted\ekramalam-GMDCSA24-A-Dataset-for-Human-Fall-Detection-in-Videos-d3edb5d\Subject 1\Fall\01.mp4,train,1,fall,Fall,Falling from sitting on the chair to the ground. Left side Fall. Full body not visible.,58
D:\Program\health(5-12)\fall_detection_model_bundle\v3_upgrade_lab\datasets\fall_detect_v3_gmdcsa24_autolabel\images\train\subject_1_fall_01_f00087.jpg,D:\Program\health(5-12)\fall_detection_model_bundle\v3_upgrade_lab\datasets\fall_detect_v3_gmdcsa24_autolabel\labels\train\subject_1_fall_01_f00087.txt,D:\Program\health(5-12)\fall_detection_model_bundle\v3_upgrade_lab\datasets\external_authorized\gmdcsa24\extracted\ekramalam-GMDCSA24-A-Dataset-for-Human-Fall-Detection-in-Videos-d3edb5d\Subject 1\Fall\01.mp4,train,1,fall,Fall,Falling from sitting on the chair to the ground. Left side Fall. Full body not visible.,87
D:\Program\health(5-12)\fall_detection_model_bundle\v3_upgrade_lab\datasets\fall_detect_v3_gmdcsa24_autolabel\images\train\subject_1_fall_01_f00115.jpg,D:\Program\health(5-12)\fall_detection_model_bundle\v3_upgrade_lab\datasets\fall_detect_v3_gmdcsa24_autolabel\labels\train\subject_1_fall_01_f00115.txt,D:\Program\health(5-12)\fall_detection_model_bundle\v3_upgrade_lab\datasets\external_authorized\gmdcsa24\extracted\ekramalam-GMDCSA24-A-Dataset-for-Human-Fall-Detection-in-Videos-d3edb5d\Subject 1\Fall\01.mp4,train,1,fall,Fall,Falling from sitting on the chair to the ground. Left side Fall. Full body not visible.,115
D:\Program\health(5-12)\fall_detection_model_bundle\v3_upgrade_lab\datasets\fall_detect_v3_gmdcsa24_autolabel\images\train\subject_1_fall_01_f00173.jpg,D:\Program\health(5-12)\fall_detection_model_bundle\v3_upgrade_lab\datasets\fall_detect_v3_gmdcsa24_autolabel\labels\train\subject_1_fall_01_f00173.txt,D:\Program\health(5-12)\fall_detection_model_bundle\v3_upgrade_lab\datasets\external_authorized\gmdcsa24\extracted\ekramalam-GMDCSA24-A-Dataset-for-Human-Fall-Detection-in-Videos-d3edb5d\Subject 1\Fall\01.mp4,train,1,fall,Fall,Falling from sitting on the chair to the ground. Left side Fall. Full body not visible.,173
D:\Program\health(5-12)\fall_detection_model_bundle\v3_upgrade_lab\datasets\fall_detect_v3_gmdcsa24_autolabel\images\train\subject_1_fall_01_f00202.jpg,D:\Program\health(5-12)\fall_detection_model_bundle\v3_upgrade_lab\datasets\fall_detect_v3_gmdcsa24_autolabel\labels\train\subject_1_fall_01_f00202.txt,D:\Program\health(5-12)\fall_detection_model_bundle\v3_upgrade_lab\datasets\external_authorized\gmdcsa24\extracted\ekramalam-GMDCSA24-A-Dataset-for-Human-Fall-Detection-in-Videos-d3edb5d\Subject 1\Fall\01.mp4,train,1,fall,Fall,Falling from sitting on the chair to the ground. Left side Fall. Full body not visible.,202
D:\Program\health(5-12)\fall_detection_model_bundle\v3_upgrade_lab\datasets\fall_detect_v3_gmdcsa24_autolabel\images\train\subject_1_fall_02_f00000.jpg,D:\Program\health(5-12)\fall_detection_model_bundle\v3_upgrade_lab\datasets\fall_detect_v3_gmdcsa24_autolabel\labels\train\subject_1_fall_02_f00000.txt,D:\Program\health(5-12)\fall_detection_model_bundle\v3_upgrade_lab\datasets\external_authorized\gmdcsa24\extracted\ekramalam-GMDCSA24-A-Dataset-for-Human-Fall-Detection-in-Videos-d3edb5d\Subject 1\Fall\02.mp4,train,1,fall,Fall,Falling from sitting on the chair to the ground. Left side Fall. Full body not visible.,0
D:\Program\health(5-12)\fall_detection_model_bundle\v3_upgrade_lab\datasets\fall_detect_v3_gmdcsa24_autolabel\images\train\subject_1_fall_02_f00027.jpg,D:\Program\health(5-12)\fall_detection_model_bundle\v3_upgrade_lab\datasets\fall_detect_v3_gmdcsa24_autolabel\labels\train\subject_1_fall_02_f00027.txt,D:\Program\health(5-12)\fall_detection_model_bundle\v3_upgrade_lab\datasets\external_authorized\gmdcsa24\extracted\ekramalam-GMDCSA24-A-Dataset-for-Human-Fall-Detection-in-Videos-d3edb5d\Subject 1\Fall\02.mp4,train,1,fall,Fall,Falling from sitting on the chair to the ground. Left side Fall. Full body not visible.,27
D:\Program\health(5-12)\fall_detection_model_bundle\v3_upgrade_lab\datasets\fall_detect_v3_gmdcsa24_autolabel\images\train\subject_1_fall_02_f00054.jpg,D:\Program\health(5-12)\fall_detection_model_bundle\v3_upgrade_lab\datasets\fall_detect_v3_gmdcsa24_autolabel\labels\train\subject_1_fall_02_f00054.txt,D:\Program\health(5-12)\fall_detection_model_bundle\v3_upgrade_lab\datasets\external_authorized\gmdcsa24\extracted\ekramalam-GMDCSA24-A-Dataset-for-Human-Fall-Detection-in-Videos-d3edb5d\Subject 1\Fall\02.mp4,train,1,fall,Fall,Falling from sitting on the chair to the ground. Left side Fall. Full body not visible.,54
D:\Program\health(5-12)\fall_detection_model_bundle\v3_upgrade_lab\datasets\fall_detect_v3_gmdcsa24_autolabel\images\train\subject_1_fall_02_f00081.jpg,D:\Program\health(5-12)\fall_detection_model_bundle\v3_upgrade_lab\datasets\fall_detect_v3_gmdcsa24_autolabel\labels\train\subject_1_fall_02_f00081.txt,D:\Program\health(5-12)\fall_detection_model_bundle\v3_upgrade_lab\datasets\external_authorized\gmdcsa24\extracted\ekramalam-GMDCSA24-A-Dataset-for-Human-Fall-Detection-in-Videos-d3edb5d\Subject 1\Fall\02.mp4,train,1,fall,Fall,Falling from sitting on the chair to the ground. Left side Fall. Full body not visible.,81
D:\Program\health(5-12)\fall_detection_model_bundle\v3_upgrade_lab\datasets\fall_detect_v3_gmdcsa24_autolabel\images\train\subject_1_fall_02_f00107.jpg,D:\Program\health(5-12)\fall_detection_model_bundle\v3_upgrade_lab\datasets\fall_detect_v3_gmdcsa24_autolabel\labels\train\subject_1_fall_02_f00107.txt,D:\Program\health(5-12)\fall_detection_model_bundle\v3_upgrade_lab\datasets\external_authorized\gmdcsa24\extracted\ekramalam-GMDCSA24-A-Dataset-for-Human-Fall-Detection-in-Videos-d3edb5d\Subject 1\Fall\02.mp4,train,1,fall,Fall,Falling from sitting on the chair to the ground. Left side Fall. Full body not visible.,107
