system_time_ns,steady_time_ns,tick,q0,q1,q2,q3,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,rpy_x,rpy_y,rpy_z,temperature
1785316366592613265,201657611057167,6908551,0.183920696,-0.001089569,-0.013197093,0.982852042,-0.009587379,-0.008522115,-0.005326321,0.070628949,-0.391451985,9.463082314,-0.026345506,-0.002712671,2.771648407,79
1785316366594575134,201657613019019,6908553,0.183921620,-0.001081427,-0.013196561,0.982851863,-0.006391586,-0.008522115,-0.002130529,0.070628949,-0.391451985,9.463082314,-0.026341463,-0.002728504,2.771646500,79
1785316366597067485,201657615511308,6908555,0.183923095,-0.001072442,-0.013185273,0.982851803,0.002130529,-0.007456850,0.004261057,0.070628949,-0.391451985,9.463082314,-0.026315959,-0.002742053,2.771643877,79
1785316366598354356,201657616798183,6908557,0.183925211,-0.001070391,-0.013176377,0.982851446,0.008522115,-0.005326321,-0.007456850,0.096965171,-0.379480958,9.475052834,-0.026297711,-0.002742868,2.771639585,79
1785316366600477140,201657618920997,6908559,0.183934048,-0.001065795,-0.013174909,0.982849836,-0.007456850,-0.002130529,-0.013848436,0.096965171,-0.379480958,9.475052834,-0.026293108,-0.002751599,2.771621704,79
1785316366603970851,201657622414755,6908561,0.183930010,-0.001074582,-0.013171382,0.982850611,0.002130529,0.000000000,0.003195793,0.067037649,-0.367509961,9.497797966,-0.026289420,-0.002732921,2.771629572,79
1785316366604577087,201657623021016,6908563,0.183934435,-0.001058431,-0.013176746,0.982849777,-0.003195793,-0.024501080,-0.013848436,0.067037649,-0.367509961,9.497797966,-0.026294008,-0.002766760,2.771621227,79
1785316366606169300,201657624613190,6908565,0.183946118,-0.001071286,-0.013180926,0.982847452,-0.015978964,0.005326321,-0.018109493,0.067037649,-0.367509961,9.497797966,-0.026306923,-0.002743342,2.771596909,79
1785316366608516839,201657626960748,6908567,0.183949322,-0.001073700,-0.013174513,0.982846975,0.003195793,-0.008522115,-0.008522115,0.053869538,-0.362721562,9.509769440,-0.026295194,-0.002736323,2.771590471,79
1785316366616660155,201657635104058,6908570,0.183959797,-0.001069549,-0.013160520,0.982845247,0.009587379,-0.003195793,-0.004261057,0.053869538,-0.362721562,9.509769440,-0.026266126,-0.002739615,2.771569252,79
1785316366618057528,201657636501369,6908575,0.183971062,-0.001056015,-0.013160109,0.982843161,-0.006391586,-0.007456850,-0.011717907,0.033518825,-0.387860686,9.454702377,-0.026260305,-0.002766368,2.771546602,79
1785316366618450353,201657636894187,6908577,0.183979392,-0.001056884,-0.013166402,0.982841492,-0.007456850,-0.012783172,-0.015978964,0.076614454,-0.356736064,9.490615845,-0.026272979,-0.002767198,2.771529675,79
1785316366620360660,201657638804478,6908579,0.183988646,-0.001046976,-0.013164867,0.982839823,0.002130529,-0.018109493,-0.011717907,0.076614454,-0.356736064,9.490615845,-0.026266286,-0.002786357,2.771511078,79
1785316366622222592,201657640666410,6908581,0.183998525,-0.001043691,-0.013161478,0.982838035,0.002130529,-0.003195793,-0.009587379,0.076614454,-0.356736064,9.490615845,-0.026258389,-0.002791831,2.771491051,79
1785316366624213344,201657642657157,6908583,0.183999598,-0.001046987,-0.013166186,0.982837737,-0.007456850,-0.005326321,-0.003195793,0.045489833,-0.414196908,9.461885452,-0.026268855,-0.002787114,2.771488905,79
1785316366626466764,201657644910586,6908585,0.184000120,-0.001048876,-0.013165894,0.982837617,-0.006391586,-0.001065264,-0.004261057,0.045489833,-0.414196908,9.461885452,-0.026268974,-0.002783306,2.771487713,79
1785316366629958846,201657648402657,6908587,0.184002250,-0.001052010,-0.013160529,0.982837319,0.000000000,-0.010652643,-0.005326321,0.040701430,-0.328005642,9.422380447,-0.026259571,-0.002775229,2.771483183,79
1785316366630315315,201657648759129,6908589,0.183998570,-0.001050541,-0.013155799,0.982838094,-0.003195793,-0.004261057,0.000000000,0.040701430,-0.328005642,9.422380447,-0.026249742,-0.002776277,2.771490812,79
1785316366632434708,201657650878618,6908591,0.184005812,-0.001047142,-0.013158839,0.982836664,-0.007456850,-0.006391586,-0.017044229,0.040701430,-0.328005642,9.422380447,-0.026254451,-0.002784271,2.771476030,79
1785316366639250337,201657657694169,6908597,0.184017807,-0.001046580,-0.013151233,0.982834518,-0.004261057,-0.011717907,-0.012783172,0.044292733,-0.348356336,9.487024307,-0.026239255,-0.002782895,2.771451712,79
1785316366640153659,201657658597471,6908599,0.184026033,-0.001036598,-0.013144832,0.982833087,0.004261057,-0.014913701,-0.014913701,0.044292733,-0.348356336,9.487024307,-0.026222974,-0.002800381,2.771435261,79
1785316366642285710,201657660729530,6908601,0.184029922,-0.001049834,-0.013134625,0.982832491,0.002130529,0.007456850,-0.010652643,0.044292733,-0.348356336,9.487024307,-0.026207766,-0.002770710,2.771426916,79
1785316366644236707,201657662680519,6908603,0.184031427,-0.001044566,-0.013126787,0.982832313,0.006391586,-0.008522115,-0.005326321,0.051475335,-0.344765037,9.506177902,-0.026190413,-0.002778220,2.771424055,79
1785316366647107244,201657665551057,6908605,0.184033915,-0.001038641,-0.013127183,0.982831836,-0.008522115,-0.004261057,-0.009587379,0.051475335,-0.344765037,9.506177902,-0.026189005,-0.002790078,2.771419048,79
1785316366648402693,201657666846595,6908607,0.184037030,-0.001037753,-0.013125497,0.982831299,-0.005326321,-0.009587379,-0.005326321,0.022744916,-0.302866518,9.485827446,-0.026185354,-0.002791286,2.771412849,79
1785316366656538808,201657674982719,6908611,0.184043750,-0.001036414,-0.013125899,0.982830048,-0.007456850,-0.006391586,-0.013848436,0.022744916,-0.302866518,9.485827446,-0.026185632,-0.002794246,2.771399260,79
1785316366657054814,201657675498740,6908615,0.184054598,-0.001031375,-0.013121974,0.982828021,-0.004261057,0.005326321,-0.002130529,0.005985504,-0.333991140,9.479841232,-0.026176030,-0.002802994,2.771377087,79
1785316366658505767,201657676949600,6908617,0.184059888,-0.001037658,-0.013121351,0.982827067,-0.007456850,-0.002130529,-0.010652643,0.001197101,-0.316034615,9.446322441,-0.026177103,-0.002790555,2.771366358,79
1785316366661100291,201657679544132,6908619,0.184055716,-0.001042368,-0.013122591,0.982827842,-0.014913701,-0.002130529,-0.001065264,0.001197101,-0.316034615,9.446322441,-0.026181286,-0.002781643,2.771374702,79
1785316366662663557,201657681107367,6908621,0.184064105,-0.001045501,-0.013121920,0.982826233,0.000000000,-0.001065264,-0.019174758,0.001197101,-0.316034615,9.446322441,-0.026181098,-0.002775462,2.771357536,79
1785316366665050210,201657683494020,6908623,0.184065074,-0.001043639,-0.013119897,0.982826114,-0.005326321,-0.006391586,-0.007456850,0.015562311,-0.289698392,9.446322441,-0.026176430,-0.002778402,2.771355629,79
1785316366666269356,201657684713178,6908625,0.184065178,-0.001050212,-0.013110759,0.982826173,0.000000000,-0.006391586,0.001065264,0.015562311,-0.289698392,9.446322441,-0.026160885,-0.002762120,2.771355152,79
1785316366668441852,201657686885662,6908627,0.184066102,-0.001042629,-0.013104171,0.982826114,0.002130529,-0.018109493,-0.008522115,0.001197101,-0.284909993,9.454702377,-0.026145142,-0.002774625,2.771353483,79
