system_time_ns,steady_time_ns,tick,q0,q1,q2,q3,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,rpy_x,rpy_y,rpy_z,temperature
1785318662467083347,203953485527202,9204291,0.640404642,-0.120274484,0.103509538,0.751466572,-0.007456850,-0.002130529,0.006391586,-3.039438963,-0.010773907,8.992621422,0.001599803,0.318708628,1.730302930,79
1785318662469049324,203953487493166,9204293,0.640404582,-0.120272242,0.103511654,0.751466751,0.000000000,-0.003195793,-0.004261057,-3.039438963,-0.010773907,8.992621422,0.001606232,0.318707973,1.730304241,79
1785318662471099678,203953489543505,9204295,0.640401781,-0.120274894,0.103517026,0.751467943,-0.001065264,0.000000000,-0.001065264,-3.039438963,-0.010773907,8.992621422,0.001612126,0.318719119,1.730311036,79
1785318662472985587,203953491429412,9204297,0.640403092,-0.120273829,0.103515379,0.751467228,-0.001065264,-0.011717907,-0.007456850,-3.021482468,-0.008379706,8.996212959,0.001610467,0.318715274,1.730307817,79
1785318662475748237,203953494192068,9204299,0.640403330,-0.120274715,0.103516266,0.751466751,-0.002130529,-0.002130529,-0.005326321,-3.021482468,-0.008379706,8.996212959,0.001610515,0.318717837,1.730306745,79
1785318662477562660,203953496006486,9204301,0.640398920,-0.120273344,0.103512429,0.751471281,-0.005326321,-0.018109493,0.002130529,-2.997540474,0.013168110,9.047688484,0.001608393,0.318710685,1.730319262,79
1785318662480010333,203953498454166,9204303,0.640397906,-0.120274216,0.103513002,0.751471877,-0.004261057,0.005326321,-0.011717907,-2.997540474,0.013168110,9.047688484,0.001608511,0.318712741,1.730321527,79
1785318662481417874,203953499861713,9204305,0.640395582,-0.120269865,0.103509761,0.751475036,-0.005326321,-0.017044229,0.000000000,-2.997540474,0.013168110,9.047688484,0.001610521,0.318701804,1.730329752,79
1785318662483096395,203953501540223,9204307,0.640391529,-0.120271459,0.103507005,0.751478612,-0.009587379,-0.009587379,-0.005326321,-3.038241863,0.014365210,8.954314232,0.001605819,0.318700641,1.730339885,79
1785318662485780427,203953504224260,9204309,0.640392363,-0.120275274,0.103502661,0.751477897,-0.012783172,-0.005326321,-0.014913701,-3.038241863,0.014365210,8.954314232,0.001593434,0.318700790,1.730335593,79
1785318662487473556,203953505917385,9204311,0.640391171,-0.120273806,0.103498071,0.751479745,-0.009587379,-0.011717907,-0.003195793,-2.983175278,-0.004788403,9.054870605,0.001588854,0.318692505,1.730339170,79
1785318662489666942,203953508110775,9204313,0.640382409,-0.120287724,0.103501067,0.751484573,-0.012783172,0.010652643,0.003195793,-2.983175278,-0.004788403,9.054870605,0.001578106,0.318717897,1.730357170,79
1785318662491145166,203953509588990,9204315,0.640379727,-0.120292500,0.103508815,0.751484990,-0.002130529,-0.012783172,-0.011717907,-2.983175278,-0.004788403,9.054870605,0.001584703,0.318735391,1.730362892,79
1785318662493636158,203953512079982,9204317,0.640384555,-0.120290287,0.103508629,0.751481235,-0.003195793,-0.017044229,-0.017044229,-3.025073767,-0.037110128,8.953117371,0.001585348,0.318731755,1.730350614,79
1785318662495245788,203953513689618,9204319,0.640382707,-0.120292537,0.103512354,0.751482010,-0.008522115,0.003195793,0.004261057,-3.025073767,-0.037110128,8.953117371,0.001588858,0.318740129,1.730355263,79
