nohup: ignoring input
[INFO] [launch]: All log files can be found below /home/go2/.ros/log/2026-07-26-17-41-09-345219-go2-ros2-vm-3273
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [unitree_sensor_bridge_node-1]: process started with pid [3274]
[unitree_sensor_bridge_node-1] [INFO] [1785058869.423823072] [unitree_sensor_bridge]: Read-only bridge started: /utlidar/cloud -> /sensor/lidar, /utlidar/imu -> /sensor/imu, /utlidar/robot_odom -> /odom
[unitree_sensor_bridge_node-1] [INFO] [1785058874.424625200] [unitree_sensor_bridge]: forwarded totals: lidar=75 imu=1226 odom=737
[unitree_sensor_bridge_node-1] [INFO] [1785058879.424156167] [unitree_sensor_bridge]: forwarded totals: lidar=152 imu=2468 odom=1482
[unitree_sensor_bridge_node-1] [INFO] [1785058884.424031506] [unitree_sensor_bridge]: forwarded totals: lidar=229 imu=3715 odom=2232
[unitree_sensor_bridge_node-1] [INFO] [1785058889.424453602] [unitree_sensor_bridge]: forwarded totals: lidar=306 imu=4948 odom=2982
[unitree_sensor_bridge_node-1] [INFO] [1785058894.424220942] [unitree_sensor_bridge]: forwarded totals: lidar=383 imu=6192 odom=3732
[unitree_sensor_bridge_node-1] [INFO] [1785058899.424492624] [unitree_sensor_bridge]: forwarded totals: lidar=460 imu=7430 odom=4479
[unitree_sensor_bridge_node-1] [INFO] [1785058904.424312936] [unitree_sensor_bridge]: forwarded totals: lidar=536 imu=8668 odom=5230
[unitree_sensor_bridge_node-1] [INFO] [1785058909.423944329] [unitree_sensor_bridge]: forwarded totals: lidar=613 imu=9915 odom=5982
[unitree_sensor_bridge_node-1] [INFO] [1785058914.424383301] [unitree_sensor_bridge]: forwarded totals: lidar=690 imu=11158 odom=6731
[unitree_sensor_bridge_node-1] [INFO] [1785058919.424393232] [unitree_sensor_bridge]: forwarded totals: lidar=767 imu=12390 odom=7483
[unitree_sensor_bridge_node-1] [INFO] [1785058924.424080278] [unitree_sensor_bridge]: forwarded totals: lidar=844 imu=13626 odom=8231
[unitree_sensor_bridge_node-1] [INFO] [1785058929.424084969] [unitree_sensor_bridge]: forwarded totals: lidar=920 imu=14867 odom=8976
[unitree_sensor_bridge_node-1] [INFO] [1785058934.424453625] [unitree_sensor_bridge]: forwarded totals: lidar=997 imu=16115 odom=9722
[unitree_sensor_bridge_node-1] [INFO] [1785058939.424113319] [unitree_sensor_bridge]: forwarded totals: lidar=1074 imu=17360 odom=10472
[unitree_sensor_bridge_node-1] [INFO] [1785058944.425277412] [unitree_sensor_bridge]: forwarded totals: lidar=1151 imu=18604 odom=11221
